City,Country,CostofLivingIndex,RentIndex,CostofLivingPlusRentIndex,GroceriesIndex,RestaurantPriceIndex,LocalPurchasingPowerIndex,latitude,longitude,Year
Dresden,Germany,60.77,20,41.57,45.74,65.33,161.8,51.0504088,13.7372621,2016
Dusseldorf,Germany,91.99,39.27,67.16,82.97,69.61,115.68,51.2277411,6.7734556,2016
Frankfurt,Germany,76.25,33.35,56.05,63.88,51.84,138.31,50.1109221,8.6821267,2016
Hamburg,Germany,75.3,32.55,55.17,61.96,84.83,108.85,53.5510846,9.9936819,2016
Heidelberg,Germany,73.04,30.9,53.2,61.24,70.41,131.95,49.3987524,8.6724335,2016
Karlsruhe,Germany,69.52,31.22,51.49,53.36,65.02,125.7,49.0068901,8.4036527,2016
Leipzig,Germany,65.49,18.67,43.44,50.9,67.09,151.7,51.3396955,12.3730747,2016
Munich,Germany,74.49,40.83,58.64,59.13,67.96,119.88,48.1351253,11.5819805,2016
Nuremberg,Germany,66.71,23.07,46.16,50.43,61.98,91.45,49.4521018,11.0766654,2016
Stuttgart,Germany,69.3,28.19,49.94,53.52,74.58,134.46,48.7758459,9.1829321,2016
Accra,Ghana,64.16,46.19,55.7,59.38,69.84,151.41,5.6037168,-0.1869644,2016
Athens,Greece,58.75,12.24,36.85,45.43,67.57,142.13,37.9838096,23.7275388,2016
Patras,Greece,51.47,9.37,31.64,38.95,64.36,56.39,38.2466395,21.734574,2016
Thessaloniki,Greece,55.41,10.29,34.17,42.73,52.76,86.21,40.6400629,22.9444191,2016
Guatemala City,Guatemala,43.98,14.56,30.12,39.39,55.92,81.62,14.6349149,-90.5068824,2016
Hong Kong,Hong Kong,77.69,82.04,79.74,78.36,57.83,61.9,22.3193039,114.1693611,2016
Budapest,Hungary,44.66,15,30.7,34.54,37.1,52.41,47.497912,19.040235,2016
Debrecen,Hungary,41.66,9.82,26.66,34.79,54.34,91.98,47.5316049,21.6273124,2016
Reykjavik,Iceland,104.95,47.4,77.85,97.16,34.59,54.73,64.146582,-21.9426354,2016
Ahmedabad,India,23.99,5.32,15.2,24.59,30.25,43.72,23.022505,72.5713621,2016
Bangalore,India,26.23,8.67,17.96,26.86,111.95,84.48,12.9715987,77.5945627,2016
Bhubaneswar,India,22.44,4.15,13.83,23.27,15.88,72.71,20.2960587,85.8245398,2016
Chandigarh,India,25.64,6.46,16.61,25.49,16.46,103.17,30.7333148,76.7794179,2016
Chennai,India,25.77,6.98,16.92,27.37,12.9,65.31,13.0826802,80.2707184,2016
Coimbatore,India,23.09,5.43,14.77,23.32,17.68,64.32,11.0168445,76.9558321,2016
Delhi,India,27.97,9.78,19.4,25.61,15.58,83.75,28.7040592,77.1024902,2016
Goa,India,25.44,7.8,17.13,24.28,16.35,47.37,15.2993265,74.123996,2016
